City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Nuristan,AF,35.3,70.8333,46.8,79,9,1.66,clear sky
169,Souillac,MU,-20.5167,57.5167,68.38,83,40,11.5,light rain
170,Ostrovnoy,RU,68.0531,39.5131,58.77,83,2,13.98,clear sky
171,Solwezi,ZM,-12.1688,26.3894,52.75,71,0,4.38,clear sky
172,Bodden Town,KY,19.2833,-81.25,84.2,79,40,11.5,scattered clouds
173,Saint-Philippe,RE,-21.3585,55.7679,65.21,80,47,10.92,light rain
174,Nyurba,RU,63.2842,118.3319,73.72,65,100,4.65,overcast clouds
175,Jasper,US,37.2001,-94.3502,93.25,33,0,6.91,clear sky
176,Karratha,AU,-20.7377,116.8463,68.13,38,73,12.5,broken clouds
177,Olot,ES,42.181,2.4901,72.61,10,1,6.08,clear sky
178,Alacranes,CU,22.7675,-81.5675,73.89,82,86,7.29,overcast clouds
179,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,11.5,light rain
180,Bilma,NE,18.6853,12.9164,88.27,29,94,5.82,overcast clouds
181,Olafsvik,IS,64.8945,-23.7142,49.6,77,96,3.4,overcast clouds
182,Imeni Poliny Osipenko,RU,52.4201,136.4853,64.96,97,100,8.1,overcast clouds
183,Pitimbu,BR,-7.4706,-34.8086,73.99,83,5,12.77,clear sky
184,Tawau,MY,4.2498,117.8871,80.73,87,100,3.27,overcast clouds
185,Cockburn Town,TC,21.4612,-71.1419,81.75,78,100,20.62,overcast clouds
186,Baykit,RU,61.67,96.37,56.14,80,77,2.8,light rain
187,Chapais,CA,49.7834,-74.8492,64.18,51,92,4.09,overcast clouds
188,Cumberland,US,35.0502,-78.8664,80.87,89,75,4.61,broken clouds
189,Kokopo,PG,-4.352,152.2633,85.24,64,100,13.58,overcast clouds
190,Tasiilaq,GL,65.6145,-37.6368,46.56,76,100,10.11,overcast clouds
191,Crestline,US,34.242,-117.2856,90.64,44,75,8.05,haze
192,Sidney,AU,-33.8679,151.2073,58.32,62,20,10.36,few clouds
193,Gamba,GA,-2.65,10.0,68.99,94,66,4.38,broken clouds
194,Hareid,NO,62.3714,6.0263,51.73,85,26,1.99,scattered clouds
195,Tiksi,RU,71.6872,128.8694,53.49,71,88,16.24,overcast clouds
196,Kangaatsiaq,GL,68.3065,-53.4641,40.24,92,0,17.25,clear sky
197,Chumikan,RU,54.7183,135.315,55.8,100,100,4.45,light rain
198,Fortuna,US,40.5982,-124.1573,63.66,84,100,1.99,overcast clouds
199,Dunedin,NZ,-45.8742,170.5036,45.81,70,100,13.0,overcast clouds
200,Bonthe,SL,7.5264,-12.505,75.45,91,100,5.19,moderate rain
201,Ucluelet,CA,48.9329,-125.5528,63.09,79,97,5.95,overcast clouds
202,Balapur,IN,20.6667,76.7667,76.01,92,100,8.39,overcast clouds
203,Tukrah,LY,32.5341,20.5791,75.38,58,0,9.46,clear sky
204,Adrar,MR,20.5022,-10.0711,95.88,27,42,18.95,scattered clouds
205,Praia,CV,14.9215,-23.5087,75.74,73,75,11.5,broken clouds
206,Hami,CN,42.8,93.45,83.21,15,2,13.96,clear sky
207,Cabedelo,BR,-6.9811,-34.8339,74.07,85,3,13.65,clear sky
208,Katsuura,JP,35.1333,140.3,75.22,89,100,8.16,moderate rain
209,Palana,RU,59.1167,159.9667,55.53,85,57,9.55,broken clouds
210,Rio Gallegos,AR,-51.6226,-69.2181,26.65,93,40,4.61,scattered clouds
211,Methoni,GR,36.8197,21.7049,75.22,51,0,5.95,clear sky
212,Sisimiut,GL,66.9395,-53.6735,47.7,68,0,14.65,clear sky
213,Barao De Melgaco,BR,-16.1944,-55.9675,73.94,37,59,5.32,broken clouds
214,Awbari,LY,26.5921,12.7805,77.54,26,3,8.63,clear sky
215,Coihaique,CL,-45.5752,-72.0662,32.61,86,100,3.44,overcast clouds
216,Ambulu,ID,-8.345,113.6058,77.65,80,55,5.19,broken clouds
217,Xuddur,SO,4.1213,43.8894,70.52,85,100,19.13,overcast clouds
218,Solnechnogorsk,RU,56.1833,36.9833,58.84,97,8,5.35,clear sky
219,San Patricio,US,28.017,-97.5169,87.84,56,15,13.73,few clouds
220,Bollnas,SE,61.3482,16.3946,46.45,84,100,14.09,overcast clouds
221,Popondetta,PG,-8.7537,148.2534,83.5,63,89,2.82,overcast clouds
222,La Tebaida,CO,4.4527,-75.7875,71.37,83,75,5.75,thunderstorm
223,Kodinsk,RU,58.6881,99.1844,62.2,54,77,3.02,broken clouds
224,Gisborne,NZ,-38.6533,178.0042,51.06,84,100,9.01,moderate rain
225,Torbay,CA,47.6666,-52.7314,60.28,90,75,11.5,broken clouds
226,Aswan,EG,24.0934,32.907,82.15,25,54,10.45,broken clouds
227,Shahdol,IN,23.2833,81.35,78.04,85,100,8.14,overcast clouds
228,Marmande,FR,44.5,0.1667,72.75,69,9,5.95,clear sky
229,Mananara,MG,-16.1667,49.7667,64.06,94,36,5.03,scattered clouds
230,Baglung,NP,28.2719,83.5898,73.24,84,9,2.24,clear sky
231,Sinnamary,GF,5.3833,-52.95,77.54,87,95,8.19,overcast clouds
232,Luganville,VU,-15.5333,167.1667,83.03,67,76,4.94,broken clouds
233,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,93,40,10.36,scattered clouds
234,Hoquiam,US,46.9809,-123.8893,72.84,71,0,11.5,clear sky
235,Balkhash,KZ,46.844,74.9804,70.41,35,0,8.95,clear sky
236,Touros,BR,-5.1989,-35.4608,75.34,81,41,14.03,scattered clouds
237,Port Lincoln,AU,-34.7333,135.8667,53.98,55,99,15.12,overcast clouds
238,Caravelas,BR,-17.7125,-39.2481,70.11,80,0,5.41,clear sky
239,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.2,82,0,0.0,clear sky
240,Mahibadhoo,MV,3.7833,72.9667,83.37,73,91,10.54,overcast clouds
241,Helena,US,46.5927,-112.0361,93.34,30,0,5.75,clear sky
242,Zhob,PK,31.3411,69.4481,74.01,79,100,6.93,overcast clouds
243,San Quintin,MX,30.4833,-115.95,70.16,75,0,12.53,clear sky
244,Rorvik,NO,64.8621,11.2373,51.94,74,100,25.08,overcast clouds
245,Carnarvon,AU,-24.8667,113.6333,66.65,79,0,13.27,clear sky
246,Srednekolymsk,RU,67.45,153.6833,63.61,37,78,7.96,broken clouds
247,Castlemaine,AU,-37.0667,144.2167,54.28,75,75,5.55,broken clouds
248,Hambantota,LK,6.1241,81.1185,78.84,80,100,16.06,overcast clouds
249,Gunjur,GM,13.2019,-16.7339,80.67,83,40,3.44,scattered clouds
250,Gizo,SB,-8.103,156.8419,83.62,65,100,8.59,overcast clouds
251,Lorengau,PG,-2.0226,147.2712,81.54,78,88,6.91,overcast clouds
252,Mokolo,CM,10.7398,13.8019,73.67,74,100,4.56,overcast clouds
253,Krasnoselkup,RU,65.7,82.4667,57.74,57,89,7.11,overcast clouds
254,Nouadhibou,MR,20.931,-17.0347,68.07,87,7,16.2,clear sky
255,Shelburne,CA,44.0787,-80.2041,65.19,72,0,4.97,clear sky
256,Peniche,PT,39.3558,-9.3811,71.08,92,7,4.5,clear sky
257,San Cristobal,VE,7.7669,-72.225,75.38,84,42,1.3,scattered clouds
258,Sahibganj,IN,25.25,87.65,84.79,69,21,9.86,light rain
259,Kushima,JP,31.4583,131.2333,84.9,72,96,7.83,moderate rain
260,Nautanwa,IN,27.4333,83.4167,89.15,59,47,8.61,scattered clouds
261,Qaanaaq,GL,77.484,-69.3632,46.65,81,98,9.06,overcast clouds
262,Puerto Narino,CO,-3.7703,-70.3831,73.04,96,54,1.21,broken clouds
263,Luoyang,CN,34.6836,112.4536,78.8,93,100,5.46,overcast clouds
264,Kulhudhuffushi,MV,6.6221,73.07,82.13,79,100,17.07,heavy intensity rain
265,Calvinia,ZA,-31.4707,19.776,48.24,76,0,6.35,clear sky
266,Lavrentiya,RU,65.5833,-171.0,52.11,64,88,17.81,overcast clouds
267,Mount Isa,AU,-20.7333,139.5,60.57,27,9,14.97,clear sky
268,Snyder,US,32.7179,-100.9176,86.34,39,0,16.11,clear sky
269,Hare Bay,CA,48.8499,-54.0148,56.55,74,72,6.78,broken clouds
270,Tacuarembo,UY,-31.7333,-55.9833,59.65,99,74,3.98,broken clouds
271,Poum,NC,-20.2333,164.0167,72.55,56,0,19.04,clear sky
272,Tiznit,MA,29.5833,-9.5,78.33,49,4,1.59,clear sky
273,Kanadey,RU,53.1679,47.5264,59.92,89,100,7.81,overcast clouds
274,Valley City,US,46.9233,-98.0032,70.32,100,75,11.5,broken clouds
275,Thiruvananthapuram,IN,8.4833,76.9167,78.78,83,75,0.0,light intensity drizzle
276,Surgut,RU,61.25,73.4167,60.98,87,0,4.47,clear sky
277,Sicamous,CA,50.8331,-118.9856,77.88,29,70,0.89,broken clouds
278,Ancud,CL,-41.8697,-73.8203,38.64,82,5,6.46,clear sky
279,Iquique,CL,-20.2208,-70.1431,59.04,70,0,5.91,clear sky
280,Phuket,TH,8.0,98.25,86.09,79,75,11.5,light rain
281,Sambava,MG,-14.2667,50.1667,66.13,85,15,9.22,few clouds
282,Marawi,PH,7.9986,124.2928,78.26,72,98,2.13,overcast clouds
283,Babaeski,TR,41.4325,27.0931,65.35,57,0,4.65,clear sky
284,Kavos,GR,38.8268,22.8322,76.21,58,0,6.11,clear sky
285,Qaqortoq,GL,60.7167,-46.0333,46.02,82,100,5.06,overcast clouds
286,Mendi,PG,-6.1761,143.6513,58.71,94,100,2.95,overcast clouds
287,La Maddalena,IT,41.2142,9.4083,73.45,78,0,12.75,clear sky
288,Colomi,BO,-17.35,-65.8667,53.08,88,85,4.5,overcast clouds
289,Biltine,TD,14.5333,20.9167,79.27,70,100,6.06,overcast clouds
290,Sola,VU,-13.8833,167.55,80.28,72,37,7.67,scattered clouds
291,Minot,US,48.2325,-101.2963,80.82,69,0,8.05,clear sky
292,Ilulissat,GL,69.2167,-51.1,55.42,38,8,23.02,clear sky
293,Lagoa,PT,39.05,-27.9833,68.52,91,0,14.94,clear sky
294,Taoudenni,ML,22.6783,-3.9836,97.66,9,5,10.71,clear sky
