City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Bismarck,US,83.26,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
450,Cuencame,MX,84.11,few clouds,24.8711,-103.6964,HOTEL RICOME
451,Chisec,GT,74.41,overcast clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
454,Virginia Beach,US,84.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
457,Kamaishi,JP,70.7,moderate rain,39.2667,141.8833,Hotel Route Inn Kamaishi
458,Honiara,SB,86.7,overcast clouds,-9.4333,159.95,Heritage Park Hotel
459,Socastee,US,82.44,clear sky,33.6835,-78.9984,Super 8 by Wyndham Myrtle Beach/Market Common Area
460,Vao,NC,70.92,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
461,Kawalu,ID,74.53,overcast clouds,-7.3817,108.2082,West Jontor
464,Nicoya,CR,75.69,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
465,Moju,BR,73.29,clear sky,-1.8839,-48.7689,HOTEL MARTINS
466,Kingsport,US,78.06,few clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
467,Anori,BR,78.55,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
474,Lardos,GR,76.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
475,Yatou,CN,81.97,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
476,Tomatlan,MX,82.58,broken clouds,19.9333,-105.25,El Salvial
477,Odweyne,SO,73.67,overcast clouds,9.4092,45.064,Eng Hiirey House
478,Kintampo,GH,71.04,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
479,Bandarbeyla,SO,79.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
481,Sonari,IN,86.05,clear sky,27.0667,95.0333,Hotel Green View
483,Amapa,BR,71.78,few clouds,1.0,-52.0,
486,Taman,RU,72.25,clear sky,45.2117,36.7161,Staryy Gorod G. Taman'
489,Coruripe,BR,72.72,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
490,Yaan,NG,71.37,broken clouds,7.3833,8.5667,
492,Huilong,CN,79.18,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
495,Tual,ID,79.5,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
499,Durango,MX,78.12,scattered clouds,24.8333,-104.8333,
500,Deyang,CN,79.68,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
501,Manuk Mangkaw,PH,79.65,heavy intensity rain,4.8,119.85,
503,Balkanabat,TM,89.55,clear sky,39.5108,54.3671,Nebitchi Hotel
505,Amantea,IT,72.16,clear sky,39.1332,16.0746,Mediterraneo Palace Hotel
506,Kodinar,IN,80.11,moderate rain,20.7903,70.7031,residency of N.B vadhel
507,Darnah,LY,76.84,clear sky,32.767,22.6367,فندق الفردوس
508,Garissa,KE,73.72,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
510,Tema,GH,75.74,overcast clouds,5.667,-0.0166,Beulah Royale Hotel Tema
511,Mabaruma,GY,74.77,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
512,Boca Do Acre,BR,77.49,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
513,Billings,US,84.29,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
515,Yendi,GH,74.52,overcast clouds,9.4427,-0.0099,Eyarro Lodge
516,Lynn Haven,US,78.06,clear sky,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
517,Kutum,SD,75.67,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
518,Amarante Do Maranhao,BR,76.17,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
520,Torrelavega,ES,72.05,broken clouds,43.3494,-4.0479,Hotel Torresport Spa
521,Adeje,ES,73.87,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
523,Vanimo,PG,82.02,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
527,Astorga,BR,71.83,scattered clouds,-23.2325,-51.6656,Rancho Jads
528,Oktyabrskiy,RU,70.99,overcast clouds,54.4815,53.471,Гостиница Октябрьская
530,Salalah,OM,76.77,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
531,Fomboni,KM,77.13,few clouds,-12.28,43.7425,Auberge les abou
533,Payo,ID,76.57,few clouds,-3.7508,103.6372,Mess keban agung
535,Balaipungut,ID,75.96,overcast clouds,1.05,101.2833,
537,Waynesboro,US,74.57,light rain,38.0685,-78.8895,"Holiday Inn Express & Suites Waynesboro-Route 340, an IHG Hotel"
538,Dovers,VC,80.8,scattered clouds,12.8833,-61.1833,Ocean Breeze
539,Meulaboh,ID,76.71,overcast clouds,4.1363,96.1285,Kost Pria
542,Noumea,NC,75.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
545,Ducheng,CN,86.7,broken clouds,23.2373,111.5317,Xinyongguang Hotel
546,Grenada,ES,74.91,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
552,Finschhafen,PG,79.75,overcast clouds,-6.6024,147.8681,Cossam Guest House
554,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
555,Vila Franca Do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
557,Santa Quiteria,BR,74.89,clear sky,-4.3319,-40.1567,Tahen Hotel
560,Troy,US,76.93,broken clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
564,Kijang,KR,85.73,few clouds,35.2442,129.2139,Samyang Beach Villa
565,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
566,Roblin,CA,71.04,clear sky,51.23,-101.3565,"Harvest Moon Inn, Roblin Manitboa"
567,Sharlyk,RU,73.22,overcast clouds,52.9167,54.75,"Gostinitsa-Kafe ""Komil'fo"""
568,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
569,Carutapera,BR,74.39,scattered clouds,-1.195,-46.02,Lidera
570,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
572,Bambanglipuro,ID,78.66,broken clouds,-7.95,110.2833,Puri Brata
573,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
575,Flores,GT,80.96,overcast clouds,16.9226,-89.8994,Quinta Maya Hotel
578,Polis,CY,76.82,clear sky,35.0367,32.4264,Marion
580,Duki,PK,77.49,overcast clouds,30.1541,68.5728,ماسٹر رشید مرحوم
582,Ust-Nera,RU,75.38,overcast clouds,64.5667,143.2,Hotel Ust-Nera
585,Mrakovo,RU,71.96,overcast clouds,52.7161,56.6244,Putnik
